PtNo,Easting,Northing,Elevation,Remark
1,354169.522,3066319.505,1895.00,TRACK
2,354335.875,3066567.560,1874.00,
3,354260.922,3066401.731,1912.00,
4,353933.376,3066647.360,1859.00,
5,353978.342,3066644.216,1872.00,
6,354322.744,3066657.103,1873.00,TRACK
7,353798.261,3066392.555,1836.00,TRACK
8,354286.864,3066284.964,1931.00,GL
9,354274.210,3066439.183,1895.00,
10,354079.382,3066670.447,1914.00,
11,353979.441,3066592.486,1868.00,
12,353961.299,3066312.368,1864.00,GL
13,353950.236,3066568.482,1857.00,TREE
14,354065.442,3066652.499,1905.00,GL
15,354101.385,3066672.236,1924.00,
16,354129.564,3066571.669,1907.00,
17,354395.597,3066627.008,1854.00,TREE
18,354273.734,3066619.992,1897.00,TERRACE
19,354169.084,3066428.792,1896.00,
20,354388.024,3066322.925,1925.00,
21,353926.607,3066578.678,1855.00,GL
22,353890.704,3066343.976,1861.00,
23,354163.421,3066439.157,1895.00,TRACK
24,353825.023,3066686.715,1872.00,GL
25,353817.974,3066513.222,1827.00,GL
26,354105.459,3066494.616,1880.00,GL
27,354078.273,3066664.615,1912.00,TREE
28,354345.810,3066397.089,1908.00,GL
29,354176.379,3066683.961,1928.00,
30,354106.863,3066649.977,1921.00,TERRACE
31,354093.889,3066431.912,1874.00,TERRACE
32,353944.024,3066419.115,1840.00,TOP
33,353801.559,3066340.928,1848.00,TERRACE
34,353913.758,3066653.756,1855.00,
35,354210.192,3066359.605,1904.00,
36,353914.341,3066292.753,1870.00,TREE
37,354019.967,3066642.300,1888.00,TREE
38,353798.981,3066528.712,1832.00,TREE
39,354295.365,3066552.103,1875.00,TRACK
40,353890.108,3066581.377,1845.00,
41,353954.718,3066305.679,1865.00,TOP
42,354322.780,3066320.845,1932.00,
43,354102.294,3066485.934,1879.00,
44,354302.662,3066304.525,1931.00,TOP
45,354180.310,3066486.782,1906.00,TOP
46,354242.681,3066578.413,1898.00,
47,353851.948,3066551.683,1832.00,
48,354121.674,3066532.210,1892.00,
49,354098.913,3066305.436,1886.00,
50,354318.073,3066378.555,1920.00,TRACK
51,354015.037,3066645.313,1886.00,TREE
52,354153.555,3066335.365,1889.00,GL
53,353831.997,3066502.477,1824.00,
54,354026.810,3066307.753,1876.00,GL
55,353992.289,3066662.193,1878.00,
56,353884.860,3066357.843,1857.00,TERRACE
57,354285.884,3066447.968,1890.00,GL
58,354024.273,3066505.562,1858.00,
59,354384.852,3066569.665,1861.00,
60,354152.531,3066659.571,1931.00,TERRACE
61,354160.612,3066579.408,1918.00,GL
62,354178.526,3066424.311,1899.00,
63,354200.310,3066315.739,1905.00,
64,353887.780,3066571.158,1843.00,
65,354062.848,3066674.607,1906.00,TREE
66,353937.766,3066295.672,1867.00,TREE
67,354039.202,3066596.123,1885.00,GL
68,353852.768,3066360.052,1855.00,TOP
69,354377.061,3066466.755,1857.00,TOP
70,353925.443,3066497.138,1835.00,
71,354200.074,3066530.384,1909.00,TREE
72,353978.954,3066682.395,1876.00,TREE
73,354321.869,3066557.978,1873.00,
74,354193.280,3066442.059,1903.00,
75,353876.307,3066574.328,1840.00,GL
76,354303.405,3066470.338,1879.00,TERRACE
77,354363.103,3066448.276,1874.00,
78,354338.245,3066429.674,1892.00,TERRACE
79,354138.238,3066482.941,1891.00,TREE
80,353882.540,3066401.516,1842.00,
81,353910.569,3066385.618,1848.00,
82,354351.609,3066343.040,1929.00,TRACK
83,354127.543,3066461.895,1884.00,TRACK
84,353903.664,3066406.072,1840.00,TREE
85,354328.574,3066617.438,1882.00,
86,354183.065,3066623.545,1920.00,TREE
87,354137.508,3066423.414,1885.00,
88,354022.723,3066534.392,1863.00,TRACK
89,354044.889,3066646.864,1897.00,TOP
90,353939.359,3066431.881,1834.00,GL
91,353819.377,3066511.187,1827.00,TOP
92,354321.990,3066460.888,1880.00,TERRACE
93,354077.765,3066546.123,1877.00,
94,354127.211,3066668.761,1930.00,TRACK
