PtNo,Easting,Northing,Elevation,Remark
1,500309.582,3050167.964,1423.645,GL
2,500175.551,3050240.147,1412.501,ROAD
3,500343.439,3050092.728,1421.191,HOUSE
4,500278.947,3050106.270,1422.019,
5,500037.671,3050203.031,1409.034,
6,500390.249,3050126.441,1422.959,
7,500304.456,3050184.143,1423.918,RIVER
8,500314.426,3050114.927,1422.548,
9,500051.245,3050053.874,1407.207,
10,500180.154,3050186.301,1413.335,
11,500148.319,3050032.789,1407.279,GL
12,500370.706,3050049.646,1420.470,RIVER
13,500257.546,3050156.706,1421.839,HOUSE
14,500329.105,3050186.817,1423.629,GL
15,500177.366,3050223.672,1412.532,
16,500090.895,3050068.147,1408.624,
17,500221.834,3050027.681,1414.329,TREE
18,500025.527,3050239.012,1408.253,
19,500331.052,3050038.606,1420.572,HOUSE
20,500252.666,3050049.417,1418.792,RIVER
21,500303.235,3050072.832,1421.620,
22,500141.810,3050132.348,1412.307,
23,500388.279,3050220.706,1424.674,
24,500357.248,3050190.137,1423.149,HOUSE
25,500311.353,3050177.039,1423.751,GL
26,500077.855,3050043.795,1407.976,
27,500186.688,3050089.421,1415.066,
28,500017.522,3050119.601,1404.821,
29,500061.716,3050036.856,1407.392,GL
30,500273.220,3050068.357,1420.945,HOUSE
31,500297.905,3050077.083,1421.797,
32,500387.004,3050031.819,1420.864,
33,500130.330,3050137.560,1411.362,GL
34,500148.184,3050176.257,1411.450,HOUSE
35,500187.822,3050017.483,1409.424,
36,500075.789,3050120.281,1409.741,
37,500051.969,3050195.553,1410.022,
38,500190.282,3050186.998,1414.389,HOUSE
39,500090.764,3050203.768,1411.138,ROAD
40,500267.926,3050112.060,1421.781,ROAD
41,500174.861,3050205.139,1412.303,TREE
42,500333.071,3050060.188,1420.921,HOUSE
43,500280.106,3050090.203,1421.791,GL
44,500124.947,3050044.089,1407.478,
45,500332.904,3050116.871,1422.049,
46,500321.906,3050098.015,1421.930,HOUSE
47,500154.991,3050060.232,1409.355,HOUSE
48,500115.331,3050187.945,1410.599,RIVER
49,500272.998,3050078.462,1421.257,RIVER
50,500055.901,3050068.201,1407.728,
51,500079.963,3050032.723,1407.757,
52,500002.945,3050109.705,1402.557,
53,500314.770,3050075.741,1421.644,RIVER
54,500265.940,3050092.318,1421.185,ROAD
55,500282.066,3050058.999,1421.193,
56,500312.292,3050190.789,1424.014,
57,500183.566,3050232.501,1413.263,TREE
58,500227.496,3050124.483,1419.763,HOUSE
59,500055.919,3050160.750,1409.679,RIVER
60,500045.812,3050216.793,1409.981,ROAD
61,500267.361,3050249.707,1424.089,
62,500188.438,3050153.379,1416.144,
63,500226.094,3050222.445,1418.620,HOUSE
64,500306.000,3050227.152,1424.735,TREE
65,500253.887,3050197.863,1421.947,RIVER
66,500221.432,3050115.233,1419.246,TREE
67,500223.683,3050020.289,1414.281,TREE
68,500121.580,3050003.951,1406.489,
69,500012.327,3050119.300,1404.196,
70,500174.687,3050123.579,1416.090,RIVER
71,500085.834,3050101.841,1409.356,ROAD
72,500163.411,3050142.042,1414.365,
73,500341.361,3050138.041,1422.253,HOUSE
74,500093.576,3050209.153,1411.101,
75,500023.321,3050027.164,1403.850,GL
76,500112.554,3050056.294,1408.050,ROAD
77,500117.438,3050198.251,1410.672,ROAD
78,500264.767,3050211.959,1423.164,
79,500222.813,3050248.706,1418.593,
80,500313.559,3050218.228,1424.506,ROAD
81,500265.725,3050222.475,1423.319,RIVER
82,500162.555,3050078.587,1411.573,
83,500325.608,3050100.415,1421.888,ROAD
84,500066.789,3050067.021,1408.192,GL
